Tick,V_uV
531,-37587
532,-37376
533,-37166
534,-36958
535,-36752
536,-36547
537,-36344
538,-36142
539,-35942
540,-35744
541,-35547
542,-35352
543,-35158
544,-34966
545,-34775
546,-34586
547,-34398
548,-34212
549,-34027
550,-33844
551,-33662
552,-33481
553,-79114
554,-78614
555,-78114
556,-77614
557,-77114
558,-76614
559,-76114
560,-75614
561,-75114
562,-74614
563,-74114
564,-73617
565,-73124
566,-72635
567,-72150
568,-71669
569,-71192
570,-70718
571,-70248
572,-69782
573,-69319
574,-68860
575,-68404
576,-67952
577,-67504
578,-67059
579,-66618
580,-66180
581,-65745
582,-65314
583,-64886
584,-64462
585,-64041
586,-63623
587,-63208
588,-62797
589,-62389
590,-61984
591,-61582
592,-61183
593,-60787
594,-60395
595,-60006
596,-59620
597,-59237
598,-58857
599,-58480
600,-58106
601,-57734
602,-57365
603,-56999
604,-56636
605,-56276
606,-55919
607,-55565
608,-55213
609,-54864
610,-54518
611,-54175
612,-53834
613,-53496
614,-53160
615,-52827
616,-52497
617,-52169
618,-51844
619,-51521
620,-51201
621,-50883
622,-50568
623,-50255
624,-49945
625,-49637
626,-49332
627,-49029
628,-48728
629,-48430
630,-48134
631,-47840
632,-47549
633,-47260
634,-46973
635,-46688
636,-46406
637,-46126
638,-45848
639,-45572
640,-45298
641,-45027
642,-44758
643,-44491
644,-44226
645,-43963
646,-43702
647,-43443
648,-43186
649,-42931
650,-42678
651,-42427
652,-42178
653,-41931
654,-41686
655,-41443
656,-41202
657,-40963
658,-40725
659,-40489
660,-40255
661,-40023
662,-39793
663,-39565
664,-39338
665,-39113
666,-38890
667,-38669
668,-38449
669,-38231
670,-38015
671,-37800
672,-37587
673,-37376
674,-37166
675,-36958
676,-36752
677,-36547
678,-36344
679,-36142
680,-35942
681,-35744
682,-35547
683,-35352
684,-35158
685,-34966
686,-34775
687,-34586
688,-34398
689,-34212
690,-34027
691,-33844
692,-33662
693,-33481
694,-79114
695,-78614
696,-78114
697,-77614
698,-77114
699,-76614
700,-76114
701,-75614
702,-75114
703,-74614
704,-74114
705,-73617
706,-73124
707,-72635
708,-72150
709,-71669
710,-71192
711,-70718
712,-70248
713,-69782
714,-69319
715,-68860
716,-68404
717,-67952
718,-67504
719,-67059
720,-66618
721,-66180
722,-65745
723,-65314
724,-64886
725,-64462
726,-64041
727,-63623
728,-63208
729,-62797
730,-62389
731,-61984
732,-61582
733,-61183
734,-60787
735,-60395
736,-60006
737,-59620
738,-59237
739,-58857
740,-58480
741,-58106
742,-57734
743,-57365
744,-56999
745,-56636
746,-56276
747,-55919
748,-55565
749,-55213
750,-54864
751,-54518
752,-54175
753,-53834
754,-53496
755,-53160
756,-52827
757,-52497
758,-52169
759,-51844
760,-51521
761,-51201
762,-50883
763,-50568
764,-50255
765,-49945
766,-49637
767,-49332
768,-49029
769,-48728
770,-48430
771,-48134
772,-47840
773,-47549
774,-47260
775,-46973
776,-46688
777,-46406
778,-46126
779,-45848
780,-45572
781,-45298
782,-45027
783,-44758
784,-44491
785,-44226
786,-43963
787,-43702
788,-43443
789,-43186
790,-42931
791,-42678
792,-42427
793,-42178
794,-41931
795,-41686
796,-41443
797,-41202
798,-40963
799,-40725
800,-40489
801,-40255
802,-40023
803,-39793
804,-39565
805,-39338
806,-39113
807,-38890
808,-38669
809,-38449
810,-38231
811,-38015
812,-37800
813,-37587
814,-37376
815,-37166
816,-36958
817,-36752
818,-36547
819,-36344
820,-36142
821,-35942
822,-35744
823,-35547
824,-35352
825,-35158
826,-34966
827,-34775
828,-34586
829,-34398
830,-34212
831,-34027
832,-33844
833,-33662
834,-33481
835,-79114
836,-78614
837,-78114
838,-77614
839,-77114
840,-76614
841,-76114
842,-75614
843,-75114
844,-74614
845,-74114
846,-73617
847,-73124
848,-72635
849,-72150
850,-71669
851,-71192
852,-70718
853,-70248
854,-69782
855,-69319
856,-68860
857,-68404
858,-67952
859,-67504
860,-67059
861,-66618
862,-66180
863,-65745
864,-65314
865,-64886
866,-64462
867,-64041
868,-63623
869,-63208
870,-62797
871,-62389
872,-61984
873,-61582
874,-61183
875,-60787
876,-60395
877,-60006
878,-59620
879,-59237
880,-58857
881,-58480
882,-58106
883,-57734
884,-57365
885,-56999
886,-56636
887,-56276
888,-55919
889,-55565
890,-55213
891,-54864
892,-54518
893,-54175
894,-53834
895,-53496
896,-53160
897,-52827
898,-52497
899,-52169
900,-51844
901,-51521
902,-51201
903,-50883
904,-50568
905,-50255
906,-49945
907,-49637
908,-49332
909,-49029
910,-48728
911,-48430
912,-48134
913,-47840
914,-47549
915,-47260
916,-46973
917,-46688
918,-46406
919,-46126
920,-45848
921,-45572
922,-45298
923,-45027
924,-44758
925,-44491
926,-44226
927,-43963
928,-43702
929,-43443
930,-43186
931,-42931
932,-42678
933,-42427
934,-42178
935,-41931
936,-41686
937,-41443
938,-41202
939,-40963
940,-40725
941,-40489
942,-40255
943,-40023
944,-39793
945,-39565
946,-39338
947,-39113
948,-38890
949,-38669
950,-38449
951,-38231
952,-38015
953,-37800
954,-37587
955,-37376
956,-37166
957,-36958
958,-36752
959,-36547
960,-36344
961,-36142
962,-35942
963,-35744
964,-35547
965,-35352
966,-35158
967,-34966
968,-34775
969,-34586
970,-34398
971,-34212
972,-34027
973,-33844
974,-33662
975,-33481
976,-79114
977,-78614
978,-78114
979,-77614
980,-77114
981,-76614
982,-76114
983,-75614
984,-75114
985,-74614
986,-74114
987,-73617
988,-73124
989,-72635
990,-72150
991,-71669
992,-71192
993,-70718
994,-70248
995,-69782
996,-69319
997,-68860
998,-68404
999,-67952
