Tick,V_uV
531,-37199
532,-37199
533,-37199
534,-37199
535,-37199
536,-37199
537,-37199
538,-37199
539,-37199
540,-37199
541,-37199
542,-37199
543,-37199
544,-37199
545,-37199
546,-37199
547,-37199
548,-37199
549,-37199
550,-37199
551,-37199
552,-37199
553,-37199
554,-37199
555,-37199
556,-37199
557,-37199
558,-37199
559,-37199
560,-37199
561,-37199
562,-37199
563,-37199
564,-37199
565,-37199
566,-37199
567,-37199
568,-37199
569,-37199
570,-37199
571,-37199
572,-37199
573,-37199
574,-37199
575,-37199
576,-37199
577,-37199
578,-37199
579,-37199
580,-37199
581,-37199
582,-37199
583,-37199
584,-37199
585,-37199
586,-37199
587,-37199
588,-37199
589,-37199
590,-37199
591,-37199
592,-37199
593,-37199
594,-37199
595,-37199
596,-37199
597,-37199
598,-37199
599,-37199
600,-37199
601,-37199
602,-37199
603,-37199
604,-37199
605,-37199
606,-37199
607,-37199
608,-37199
609,-37199
610,-37199
611,-37199
612,-37199
613,-37199
614,-37199
615,-37199
616,-37199
617,-37199
618,-37199
619,-37199
620,-37199
621,-37199
622,-37199
623,-37199
624,-37199
625,-37199
626,-37199
627,-37199
628,-37199
629,-37199
630,-37199
631,-37199
632,-37199
633,-37199
634,-37199
635,-37199
636,-37199
637,-37199
638,-37199
639,-37199
640,-37199
641,-37199
642,-37199
643,-37199
644,-37199
645,-37199
646,-37199
647,-37199
648,-37199
649,-37199
650,-37199
651,-37199
652,-37199
653,-37199
654,-37199
655,-37199
656,-37199
657,-37199
658,-37199
659,-37199
660,-37199
661,-37199
662,-37199
663,-37199
664,-37199
665,-37199
666,-37199
667,-37199
668,-37199
669,-37199
670,-37199
671,-37199
672,-37199
673,-37199
674,-37199
675,-37199
676,-37199
677,-37199
678,-37199
679,-37199
680,-37199
681,-37199
682,-37199
683,-37199
684,-37199
685,-37199
686,-37199
687,-37199
688,-37199
689,-37199
690,-37199
691,-37199
692,-37199
693,-37199
694,-37199
695,-37199
696,-37199
697,-37199
698,-37199
699,-37199
700,-37199
701,-37199
702,-37199
703,-37199
704,-37199
705,-37199
706,-37199
707,-37199
708,-37199
709,-37199
710,-37199
711,-37199
712,-37199
713,-37199
714,-37199
715,-37199
716,-37199
717,-37199
718,-37199
719,-37199
720,-37199
721,-37199
722,-37199
723,-37199
724,-37199
725,-37199
726,-37199
727,-37199
728,-37199
729,-37199
730,-37199
731,-37199
732,-37199
733,-37199
734,-37199
735,-37199
736,-37199
737,-37199
738,-37199
739,-37199
740,-37199
741,-37199
742,-37199
743,-37199
744,-37199
745,-37199
746,-37199
747,-37199
748,-37199
749,-37199
750,-37199
751,-37199
752,-37199
753,-37199
754,-37199
755,-37199
756,-37199
757,-37199
758,-37199
759,-37199
760,-37199
761,-37199
762,-37199
763,-37199
764,-37199
765,-37199
766,-37199
767,-37199
768,-37199
769,-37199
770,-37199
771,-37199
772,-37199
773,-37199
774,-37199
775,-37199
776,-37199
777,-37199
778,-37199
779,-37199
780,-37199
781,-37199
782,-37199
783,-37199
784,-37199
785,-37199
786,-37199
787,-37199
788,-37199
789,-37199
790,-37199
791,-37199
792,-37199
793,-37199
794,-37199
795,-37199
796,-37199
797,-37199
798,-37199
799,-37199
800,-37199
801,-37199
802,-37199
803,-37199
804,-37199
805,-37199
806,-37199
807,-37199
808,-37199
809,-37199
810,-37199
811,-37199
812,-37199
813,-37199
814,-37199
815,-37199
816,-37199
817,-37199
818,-37199
819,-37199
820,-37199
821,-37199
822,-37199
823,-37199
824,-37199
825,-37199
826,-37199
827,-37199
828,-37199
829,-37199
830,-37199
831,-37199
