Tick,V_uV
531,-42581
532,-42184
533,-41788
534,-41394
535,-41001
536,-40610
537,-40220
538,-39832
539,-39445
540,-39060
541,-38676
542,-73502
543,-73002
544,-72502
545,-72002
546,-71502
547,-71002
548,-70502
549,-70002
550,-69502
551,-69002
552,-68502
553,-68003
554,-67506
555,-67011
556,-66518
557,-66027
558,-65538
559,-65051
560,-64566
561,-64083
562,-63602
563,-63123
564,-62645
565,-62169
566,-61695
567,-61223
568,-60753
569,-60285
570,-59819
571,-59354
572,-58891
573,-58430
574,-57971
575,-57514
576,-57058
577,-56604
578,-56152
579,-55702
580,-55253
581,-54806
582,-54361
583,-53918
584,-53476
585,-53036
586,-52598
587,-52162
588,-51727
589,-51294
590,-50863
591,-50433
592,-50005
593,-49579
594,-49154
595,-48731
596,-48310
597,-47890
598,-47472
599,-47056
600,-46641
601,-46228
602,-45816
603,-45406
604,-44998
605,-44591
606,-44186
607,-43782
608,-43380
609,-42980
610,-42581
611,-42184
612,-41788
613,-41394
614,-41001
615,-40610
616,-40220
617,-39832
618,-39445
619,-39060
620,-38676
621,-73502
622,-73002
623,-72502
624,-72002
625,-71502
626,-71002
627,-70502
628,-70002
629,-69502
630,-69002
631,-68502
632,-68003
633,-67506
634,-67011
635,-66518
636,-66027
637,-65538
638,-65051
639,-64566
640,-64083
641,-63602
642,-63123
643,-62645
644,-62169
645,-61695
646,-61223
647,-60753
648,-60285
649,-59819
650,-59354
651,-58891
652,-58430
653,-57971
654,-57514
655,-57058
656,-56604
657,-56152
658,-55702
659,-55253
660,-54806
661,-54361
662,-53918
663,-53476
664,-53036
665,-52598
666,-52162
667,-51727
668,-51294
669,-50863
670,-50433
671,-50005
672,-49579
673,-49154
674,-48731
675,-48310
676,-47890
677,-47472
678,-47056
679,-46641
680,-46228
681,-45816
682,-45406
683,-44998
684,-44591
685,-44186
686,-43782
687,-43380
688,-42980
689,-42581
690,-42184
691,-41788
692,-41394
693,-41001
694,-40610
695,-40220
696,-39832
697,-39445
698,-39060
699,-38676
700,-73502
701,-73002
702,-72502
703,-72002
704,-71502
705,-71002
706,-70502
707,-70002
708,-69502
709,-69002
710,-68502
711,-68003
712,-67506
713,-67011
714,-66518
715,-66027
716,-65538
717,-65051
718,-64566
719,-64083
720,-63602
721,-63123
722,-62645
723,-62169
724,-61695
725,-61223
726,-60753
727,-60285
728,-59819
729,-59354
730,-58891
731,-58430
732,-57971
733,-57514
734,-57058
735,-56604
736,-56152
737,-55702
738,-55253
739,-54806
740,-54361
741,-53918
742,-53476
743,-53036
744,-52598
745,-52162
746,-51727
747,-51294
748,-50863
749,-50433
750,-50005
751,-49579
752,-49154
753,-48731
754,-48310
755,-47890
756,-47472
757,-47056
758,-46641
759,-46228
760,-45816
761,-45406
762,-44998
763,-44591
764,-44186
765,-43782
766,-43380
767,-42980
768,-42581
769,-42184
770,-41788
771,-41394
772,-41001
773,-40610
774,-40220
775,-39832
776,-39445
777,-39060
778,-38676
779,-73502
780,-73002
781,-72502
782,-72002
783,-71502
784,-71002
785,-70502
786,-70002
787,-69502
788,-69002
789,-68502
790,-68003
791,-67506
792,-67011
793,-66518
794,-66027
795,-65538
796,-65051
797,-64566
798,-64083
799,-63602
800,-63123
801,-62645
802,-62169
803,-61695
804,-61223
805,-60753
806,-60285
807,-59819
808,-59354
809,-58891
810,-58430
811,-57971
812,-57514
813,-57058
814,-56604
815,-56152
816,-55702
817,-55253
818,-54806
819,-54361
820,-53918
821,-53476
822,-53036
823,-52598
824,-52162
825,-51727
826,-51294
827,-50863
828,-50433
829,-50005
830,-49579
831,-49154
832,-48731
833,-48310
834,-47890
835,-47472
836,-47056
837,-46641
838,-46228
839,-45816
840,-45406
841,-44998
842,-44591
843,-44186
844,-43782
845,-43380
846,-42980
847,-42581
848,-42184
849,-41788
850,-41394
851,-41001
852,-40610
853,-40220
854,-39832
855,-39445
856,-39060
857,-38676
858,-73502
859,-73002
860,-72502
861,-72002
862,-71502
863,-71002
864,-70502
865,-70002
866,-69502
867,-69002
868,-68502
869,-68003
870,-67506
871,-67011
872,-66518
873,-66027
874,-65538
875,-65051
876,-64566
877,-64083
878,-63602
879,-63123
880,-62645
881,-62169
882,-61695
883,-61223
884,-60753
885,-60285
886,-59819
887,-59354
888,-58891
889,-58430
890,-57971
891,-57514
892,-57058
893,-56604
894,-56152
895,-55702
896,-55253
897,-54806
898,-54361
899,-53918
900,-53476
901,-53036
902,-52598
903,-52162
904,-51727
905,-51294
906,-50863
907,-50433
908,-50005
909,-49579
910,-49154
911,-48731
912,-48310
913,-47890
