Tick,V_uV
531,-70280
532,-69817
533,-69362
534,-68914
535,-68473
536,-68039
537,-67611
538,-67190
539,-66776
540,-66368
541,-65967
542,-65572
543,-65183
544,-64800
545,-64423
546,-64052
547,-63687
548,-63327
549,-62973
550,-62625
551,-62282
552,-61944
553,-61612
554,-61285
555,-60963
556,-60646
557,-60334
558,-60027
559,-59725
560,-59427
561,-59134
562,-58846
563,-58562
564,-58282
565,-58007
566,-57736
567,-57469
568,-57207
569,-56949
570,-56695
571,-56445
572,-56199
573,-55956
574,-55717
575,-55482
576,-55251
577,-55023
578,-54799
579,-54578
580,-54361
581,-54147
582,-53936
583,-53729
584,-53525
585,-53324
586,-53126
587,-52931
588,-52739
589,-52550
590,-52364
591,-52181
592,-52001
593,-51824
594,-51650
595,-51478
596,-51309
597,-51143
598,-50979
599,-50818
600,-50659
601,-50503
602,-50349
603,-50198
604,-50049
605,-77205
606,-76705
607,-76205
608,-75705
609,-75205
610,-74705
611,-74205
612,-73705
613,-73205
614,-72705
615,-72205
616,-71712
617,-71227
618,-70750
619,-70280
620,-69817
621,-69362
622,-68914
623,-68473
624,-68039
625,-67611
626,-67190
627,-66776
628,-66368
629,-65967
630,-65572
631,-65183
632,-64800
633,-64423
634,-64052
635,-63687
636,-63327
637,-62973
638,-62625
639,-62282
640,-61944
641,-61612
642,-61285
643,-60963
644,-60646
645,-60334
646,-60027
647,-59725
648,-59427
649,-59134
650,-58846
651,-58562
652,-58282
653,-58007
654,-57736
655,-57469
656,-57207
657,-56949
658,-56695
659,-56445
660,-56199
661,-55956
662,-55717
663,-55482
664,-55251
665,-55023
666,-54799
667,-54578
668,-54361
669,-54147
670,-53936
671,-53729
672,-53525
673,-53324
674,-53126
675,-52931
676,-52739
677,-52550
678,-52364
679,-52181
680,-52001
681,-51824
682,-51650
683,-51478
684,-51309
685,-51143
686,-50979
687,-50818
688,-50659
689,-50503
690,-50349
691,-50198
692,-50049
693,-77205
694,-76705
695,-76205
696,-75705
697,-75205
698,-74705
699,-74205
700,-73705
701,-73205
702,-72705
703,-72205
704,-71712
705,-71227
706,-70750
707,-70280
708,-69817
709,-69362
710,-68914
711,-68473
712,-68039
713,-67611
714,-67190
715,-66776
716,-66368
717,-65967
718,-65572
719,-65183
720,-64800
721,-64423
722,-64052
723,-63687
724,-63327
725,-62973
726,-62625
727,-62282
728,-61944
729,-61612
730,-61285
731,-60963
732,-60646
733,-60334
734,-60027
735,-59725
736,-59427
737,-59134
738,-58846
739,-58562
740,-58282
741,-58007
742,-57736
743,-57469
744,-57207
745,-56949
746,-56695
747,-56445
748,-56199
749,-55956
750,-55717
751,-55482
752,-55251
753,-55023
754,-54799
755,-54578
756,-54361
757,-54147
758,-53936
759,-53729
760,-53525
761,-53324
762,-53126
763,-52931
764,-52739
765,-52550
766,-52364
767,-52181
768,-52001
769,-51824
770,-51650
771,-51478
772,-51309
773,-51143
774,-50979
775,-50818
776,-50659
777,-50503
778,-50349
779,-50198
780,-50049
781,-77205
782,-76705
783,-76205
784,-75705
785,-75205
786,-74705
787,-74205
788,-73705
789,-73205
790,-72705
791,-72205
792,-71712
793,-71227
794,-70750
795,-70280
796,-69817
797,-69362
798,-68914
799,-68473
800,-68039
801,-67611
802,-67190
803,-66776
804,-66368
805,-65967
806,-65572
807,-65183
808,-64800
809,-64423
810,-64052
811,-63687
812,-63327
813,-62973
814,-62625
815,-62282
816,-61944
817,-61612
818,-61285
819,-60963
820,-60646
821,-60334
822,-60027
823,-59725
824,-59427
825,-59134
826,-58846
827,-58562
828,-58282
829,-58007
830,-57736
831,-57469
832,-57207
833,-56949
834,-56695
835,-56445
836,-56199
837,-55956
838,-55717
839,-55482
840,-55251
841,-55023
842,-54799
843,-54578
844,-54361
845,-54147
846,-53936
847,-53729
848,-53525
849,-53324
850,-53126
851,-52931
852,-52739
853,-52550
854,-52364
855,-52181
856,-52001
857,-51824
858,-51650
859,-51478
860,-51309
861,-51143
862,-50979
863,-50818
864,-50659
865,-50503
866,-50349
867,-50198
868,-50049
869,-77205
870,-76705
871,-76205
872,-75705
873,-75205
874,-74705
875,-74205
876,-73705
877,-73205
878,-72705
879,-72205
880,-71712
881,-71227
882,-70750
883,-70280
884,-69817
885,-69362
886,-68914
887,-68473
888,-68039
889,-67611
890,-67190
891,-66776
892,-66368
893,-65967
894,-65572
895,-65183
896,-64800
897,-64423
898,-64052
899,-63687
900,-63327
901,-62973
902,-62625
903,-62282
904,-61944
905,-61612
906,-61285
907,-60963
908,-60646
909,-60334
910,-60027
911,-59725
912,-59427
913,-59134
914,-58846
915,-58562
916,-58282
917,-58007
918,-57736
919,-57469
920,-57207
921,-56949
922,-56695
923,-56445
924,-56199
925,-55956
926,-55717
927,-55482
928,-55251
929,-55023
930,-54799
931,-54578
932,-54361
933,-54147
934,-53936
935,-53729
936,-53525
937,-53324
938,-53126
939,-52931
940,-52739
941,-52550
942,-52364
943,-52181
944,-52001
945,-51824
946,-51650
947,-51478
948,-51309
949,-51143
950,-50979
951,-50818
952,-50659
953,-50503
954,-50349
955,-50198
956,-50049
957,-77205
958,-76705
959,-76205
960,-75705
961,-75205
962,-74705
963,-74205
964,-73705
965,-73205
966,-72705
967,-72205
968,-71712
969,-71227
970,-70750
971,-70280
972,-69817
973,-69362
974,-68914
975,-68473
976,-68039
977,-67611
978,-67190
979,-66776
980,-66368
981,-65967
982,-65572
983,-65183
984,-64800
985,-64423
986,-64052
987,-63687
988,-63327
989,-62973
990,-62625
991,-62282
992,-61944
993,-61612
994,-61285
995,-60963
996,-60646
997,-60334
998,-60027
999,-59725
