Tick,V_uV
531,-64567
532,-64108
533,-63651
534,-63195
535,-62741
536,-62289
537,-61839
538,-61390
539,-60943
540,-60498
541,-60055
542,-59613
543,-59173
544,-58735
545,-58299
546,-57864
547,-57431
548,-57000
549,-56570
550,-56142
551,-55716
552,-55291
553,-54868
554,-54447
555,-54027
556,-53609
557,-53193
558,-52778
559,-52365
560,-51953
561,-51543
562,-51135
563,-50728
564,-50323
565,-49919
566,-49517
567,-49117
568,-48718
569,-48321
570,-47925
571,-47531
572,-47138
573,-79639
574,-79139
575,-78639
576,-78139
577,-77639
578,-77139
579,-76639
580,-76139
581,-75639
582,-75139
583,-74639
584,-74140
585,-73643
586,-73148
587,-72655
588,-72164
589,-71675
590,-71188
591,-70703
592,-70220
593,-69739
594,-69260
595,-68782
596,-68306
597,-67832
598,-67360
599,-66890
600,-66422
601,-65956
602,-65491
603,-65028
604,-64567
605,-64108
606,-63651
607,-63195
608,-62741
609,-62289
610,-61839
611,-61390
612,-60943
613,-60498
614,-60055
615,-59613
616,-59173
617,-58735
618,-58299
619,-57864
620,-57431
621,-57000
622,-56570
623,-56142
624,-55716
625,-55291
626,-54868
627,-54447
628,-54027
629,-53609
630,-53193
631,-52778
632,-52365
633,-51953
634,-51543
635,-51135
636,-50728
637,-50323
638,-49919
639,-49517
640,-49117
641,-48718
642,-48321
643,-47925
644,-47531
645,-47138
646,-79639
647,-79139
648,-78639
649,-78139
650,-77639
651,-77139
652,-76639
653,-76139
654,-75639
655,-75139
656,-74639
657,-74140
658,-73643
659,-73148
660,-72655
661,-72164
662,-71675
663,-71188
664,-70703
665,-70220
666,-69739
667,-69260
668,-68782
669,-68306
670,-67832
671,-67360
672,-66890
673,-66422
674,-65956
675,-65491
676,-65028
677,-64567
678,-64108
679,-63651
680,-63195
681,-62741
682,-62289
683,-61839
684,-61390
685,-60943
686,-60498
687,-60055
688,-59613
689,-59173
690,-58735
691,-58299
692,-57864
693,-57431
694,-57000
695,-56570
696,-56142
697,-55716
698,-55291
699,-54868
700,-54447
701,-54027
702,-53609
703,-53193
704,-52778
705,-52365
706,-51953
707,-51543
708,-51135
709,-50728
710,-50323
711,-49919
712,-49517
713,-49117
714,-48718
715,-48321
716,-47925
717,-47531
718,-47138
719,-79639
720,-79139
721,-78639
722,-78139
723,-77639
724,-77139
725,-76639
726,-76139
727,-75639
728,-75139
729,-74639
730,-74140
731,-73643
732,-73148
733,-72655
734,-72164
735,-71675
736,-71188
737,-70703
738,-70220
739,-69739
740,-69260
741,-68782
742,-68306
743,-67832
744,-67360
745,-66890
746,-66422
747,-65956
748,-65491
749,-65028
750,-64567
751,-64108
752,-63651
753,-63195
754,-62741
755,-62289
756,-61839
757,-61390
758,-60943
759,-60498
760,-60055
761,-59613
762,-59173
763,-58735
764,-58299
765,-57864
766,-57431
767,-57000
768,-56570
769,-56142
770,-55716
771,-55291
772,-54868
773,-54447
774,-54027
775,-53609
776,-53193
777,-52778
778,-52365
779,-51953
780,-51543
781,-51135
782,-50728
783,-50323
784,-49919
785,-49517
786,-49117
787,-48718
788,-48321
789,-47925
790,-47531
791,-47138
792,-79639
793,-79139
794,-78639
795,-78139
796,-77639
797,-77139
798,-76639
799,-76139
800,-75639
801,-75139
802,-74639
803,-74140
804,-73643
805,-73148
806,-72655
807,-72164
808,-71675
809,-71188
810,-70703
811,-70220
812,-69739
813,-69260
814,-68782
815,-68306
816,-67832
817,-67360
818,-66890
819,-66422
820,-65956
821,-65491
822,-65028
823,-64567
824,-64108
825,-63651
826,-63195
827,-62741
828,-62289
829,-61839
830,-61390
831,-60943
832,-60498
833,-60055
834,-59613
835,-59173
836,-58735
837,-58299
838,-57864
839,-57431
840,-57000
841,-56570
842,-56142
843,-55716
844,-55291
845,-54868
846,-54447
847,-54027
848,-53609
849,-53193
850,-52778
851,-52365
852,-51953
853,-51543
854,-51135
855,-50728
856,-50323
857,-49919
858,-49517
859,-49117
860,-48718
861,-48321
862,-47925
863,-47531
864,-47138
865,-79639
866,-79139
867,-78639
868,-78139
869,-77639
870,-77139
871,-76639
872,-76139
873,-75639
874,-75139
875,-74639
876,-74140
877,-73643
878,-73148
879,-72655
880,-72164
881,-71675
882,-71188
883,-70703
884,-70220
885,-69739
886,-69260
887,-68782
888,-68306
889,-67832
890,-67360
891,-66890
892,-66422
893,-65956
894,-65491
895,-65028
896,-64567
897,-64108
898,-63651
899,-63195
900,-62741
901,-62289
902,-61839
903,-61390
904,-60943
905,-60498
906,-60055
907,-59613
908,-59173
909,-58735
910,-58299
911,-57864
912,-57431
913,-57000
914,-56570
915,-56142
916,-55716
917,-55291
918,-54868
919,-54447
920,-54027
921,-53609
922,-53193
923,-52778
924,-52365
925,-51953
926,-51543
927,-51135
928,-50728
929,-50323
930,-49919
931,-49517
932,-49117
933,-48718
934,-48321
935,-47925
936,-47531
937,-47138
938,-79639
939,-79139
940,-78639
941,-78139
942,-77639
943,-77139
944,-76639
945,-76139
946,-75639
947,-75139
948,-74639
949,-74140
950,-73643
951,-73148
952,-72655
953,-72164
954,-71675
955,-71188
956,-70703
957,-70220
958,-69739
959,-69260
960,-68782
961,-68306
962,-67832
963,-67360
964,-66890
965,-66422
966,-65956
967,-65491
968,-65028
969,-64567
970,-64108
971,-63651
972,-63195
973,-62741
974,-62289
975,-61839
976,-61390
977,-60943
978,-60498
979,-60055
980,-59613
981,-59173
982,-58735
983,-58299
984,-57864
985,-57431
986,-57000
987,-56570
988,-56142
989,-55716
990,-55291
991,-54868
992,-54447
993,-54027
994,-53609
995,-53193
996,-52778
997,-52365
998,-51953
999,-51543
